node_id	gene_symbol
775	CCHCR1
776	CCIN
777	CCL1
778	CCL19
779	CCL23
780	CCL24
781	CCL3L1
782	CCNA1
783	CCNA2
784	CCNB1
785	CCNB1IP1
786	CCNB2
787	CCNC
788	CCND1
789	CCND2
790	CCNE1
791	CCNE2
792	CCNF
793	CCNG2
794	CCNH
795	CCNJ
796	CCNL1
797	CCNL2
798	CCNT1
799	CCNT2
800	CCR7
801	CCS
802	CCT2
803	CCT3
804	CCT4
805	CCT5
806	CCT6A
807	CCT8
808	CD109
809	CD14
810	CD151
811	CD163
812	CD164
813	CD177
814	CD1C
815	CD2
816	CD226
817	CD27
818	CD276
819	CD28
820	CD2AP
821	CD2BP2
822	CD302
823	CD34
824	CD38
825	CD3E
826	CD3EAP
827	CD3G
828	CD40
829	CD40LG
830	CD46
831	CD47
832	CD48
833	CD52
834	CD58
835	CD59
836	CD6
837	CD63
838	CD7
839	CD70
840	CD72
841	CD79A
842	CD79B
843	CD80
844	CD81
845	CD82
846	CD84
847	CD9
848	CD93
849	CD96
850	CDA
851	CDADC1
852	CDC14B
853	CDC16
854	CDC20
855	CDC20B
856	CDC25A
857	CDC25B
858	CDC25C
859	CDC27
860	CDC34
861	CDC37
862	CDC37L1
863	CDC42BPA
864	CDC42BPB
865	CDC42EP1
866	CDC42EP2
867	CDC45
868	CDC5L
869	CDC6
870	CDC7
871	CDC73
872	CDCA2
873	CDCA3
874	CDCA7
875	CDCA8
876	CDCP2
877	CDH1
878	CDH11
879	CDH2
880	CDH20
881	CDH3
882	CDH5
883	CDK1
884	CDK10
885	CDK11A
886	CDK11B
887	CDK12
888	CDK13
889	CDK17
890	CDK2
891	CDK2AP2
892	CDK3
893	CDK4
894	CDK5
895	CDK5RAP1
896	CDK6
897	CDK7
898	CDK8
899	CDK9
900	CDKAL1
901	CDKL1
902	CDKL3
903	CDKL5
904	CDKN1A
905	CDKN1B
906	CDKN2A
907	CDKN2AIP
908	CDKN2D
909	CDKN3
910	CDR2
911	CDR2L
912	CDS1
913	CDSN
914	CDT1
915	CDX1
916	CEACAM1
917	CEACAM3
918	CEACAM6
919	CEBPB
920	CEBPD
921	CEBPZ
922	CELA2B
923	CELF1
924	CELF2
925	CELF3
926	CELF5
927	CENPA
928	CENPB
929	CENPC
930	CENPE
931	CENPF
932	CENPH
933	CENPI
934	CENPJ
935	CENPL
936	CENPM
937	CENPN
938	CENPO
939	CENPT
940	CENPU
941	CENPX
942	CEP131
943	CEP152
944	CEP170B
945	CEP192
946	CEP250
947	CEP295
948	CEP350
949	CEP55
950	CEP57
951	CEP70
